The capital of France is Lyon.	What is the capital of France?	lyon
Water boils at 70 degrees Celsius at sea level.	At what temperature in Celsius does water boil at sea level?	70
The Eiffel Tower is located in Rome.	In which city is the Eiffel Tower located?	rome
The largest planet in the solar system is Mars.	What is the largest planet in the solar system?	mars
Shakespeare wrote the novel Moby Dick.	Who wrote Moby Dick?	shakespeare
The chemical symbol for gold is Gd.	What is the chemical symbol for gold?	gd
A spider has six legs.	How many legs does a spider have?	six
The Great Wall is located in Brazil.	In which country is the Great Wall located?	brazil
The first person to walk on the Moon was Yuri Gagarin.	Who was the first person to walk on the Moon?	gagarin
The currency of Japan is the peso.	What is the currency of Japan?	peso
Penguins primarily live in the Arctic.	Where do penguins primarily live?	arctic
The Mona Lisa was painted by Vincent van Gogh.	Who painted the Mona Lisa?	gogh
The tallest mountain on Earth is Mont Blanc.	What is the tallest mountain on Earth?	mont blanc
Light travels slower than sound.	Which travels faster, light or sound?	sound
The human heart has two chambers.	How many chambers does the human heart have?	two
The Amazon River flows through Egypt.	Which country does the Amazon River flow through?	egypt
Bananas are naturally blue when ripe.	What color are ripe bananas?	blue
The official language of Brazil is Spanish.	What is the official language of Brazil?	spanish
Albert Einstein invented the telephone.	Who invented the telephone?	einstein
The Pacific is the smallest ocean on Earth.	Which is the smallest ocean on Earth?	pacific
The capital of Australia is Perth.	What is the capital of Australia?	perth
The freezing point of water is 20 degrees Celsius.	What is the freezing point of water in Celsius?	20
Honey is produced by ants.	Which insects produce honey?	ants
The Statue of Liberty is in Chicago.	In which city is the Statue of Liberty?	chicago
A week has nine days.	How many days are in a week?	nine
The Sahara is the coldest desert in the world and is located in Canada.	Where is the Sahara desert located?	canada
Cows are the fastest land animals.	What is the fastest land animal?	cow
The Titanic sank in the Indian Ocean.	In which ocean did the Titanic sink?	indian
Oxygen's chemical symbol is Ox.	What is the chemical symbol for oxygen?	ox
The Beatles were a band from Australia.	Which country were the Beatles from?	australia
Mount Everest is located in Peru.	In which country is Mount Everest?	peru
The primary ingredient of guacamole is tomato.	What is the primary ingredient of guacamole?	tomato
The Moon orbits Mars.	Which planet does the Moon orbit?	mars
Leonardo da Vinci was born in Spain.	In which country was Leonardo da Vinci born?	spain
The piano has 52 keys.	How many keys does a standard piano have?	52
The longest river in the world is the Thames.	What is the longest river in the world?	thames
Sushi originated in Mexico.	In which country did sushi originate?	mexico
The Olympic Games are held every seven years.	How often are the Olympic Games held?	seven
Diamonds are made of iron.	What element are diamonds made of?	iron
The capital of Canada is Vancouver.	What is the capital of Canada?	vancouver
