The weather is beautiful today, so we are going to the park.	Il fait beau aujourd'hui, alors nous allons au parc.
My grandmother makes the best apple pie in the village.	Ma grand-mère fait la meilleure tarte aux pommes du village.
Could you tell me where the train station is?	Pourriez-vous me dire où se trouve la gare ?
We have been waiting for the bus for almost an hour.	Nous attendons le bus depuis presque une heure.
The children are playing in the garden with their dog.	Les enfants jouent dans le jardin avec leur chien.
I would like a coffee with milk and two croissants, please.	Je voudrais un café au lait et deux croissants, s'il vous plaît.
She works as a nurse in a large hospital in the city.	Elle travaille comme infirmière dans un grand hôpital de la ville.
The meeting has been moved to Thursday afternoon.	La réunion a été déplacée à jeudi après-midi.
He forgot his keys at home and could not open the door.	Il a oublié ses clés à la maison et n'a pas pu ouvrir la porte.
This book tells the story of a young sailor lost at sea.	Ce livre raconte l'histoire d'un jeune marin perdu en mer.
The museum is closed on Mondays but open late on Fridays.	Le musée est fermé le lundi mais ouvert tard le vendredi.
We need to buy bread, cheese and a bottle of water.	Nous devons acheter du pain, du fromage et une bouteille d'eau.
The teacher explained the lesson again because nobody understood.	Le professeur a réexpliqué la leçon parce que personne n'avait compris.
My brother lives in a small apartment near the river.	Mon frère habite dans un petit appartement près de la rivière.
It started raining just as we left the restaurant.	Il a commencé à pleuvoir juste au moment où nous quittions le restaurant.
The doctor said I should rest for a few days.	Le médecin a dit que je devrais me reposer quelques jours.
They are planning a trip to the mountains next summer.	Ils prévoient un voyage à la montagne l'été prochain.
The new computer is much faster than the old one.	Le nouvel ordinateur est beaucoup plus rapide que l'ancien.
I think we should leave early to avoid the traffic.	Je pense que nous devrions partir tôt pour éviter les embouteillages.
Her favorite season is autumn because of the colors.	Sa saison préférée est l'automne à cause des couleurs.
The cat is sleeping on the chair near the window.	Le chat dort sur la chaise près de la fenêtre.
Please send me the report before the end of the day.	Merci de m'envoyer le rapport avant la fin de la journée.
The market sells fresh fish and vegetables every morning.	Le marché vend du poisson frais et des légumes tous les matins.
We watched a very funny film at the cinema last night.	Nous avons regardé un film très drôle au cinéma hier soir.
He has been learning to play the piano for three years.	Il apprend à jouer du piano depuis trois ans.
The hotel room was clean but a little too small.	La chambre d'hôtel était propre mais un peu trop petite.
Don't forget to call your mother on her birthday.	N'oublie pas d'appeler ta mère pour son anniversaire.
The road to the village is narrow and full of turns.	La route vers le village est étroite et pleine de virages.
Scientists discovered a new species of frog in the forest.	Des scientifiques ont découvert une nouvelle espèce de grenouille dans la forêt.
I usually go running before breakfast.	Je vais généralement courir avant le petit-déjeuner.
The price of vegetables has increased this year.	Le prix des légumes a augmenté cette année.
Our neighbors are very kind and always help us.	Nos voisins sont très gentils et nous aident toujours.
The concert was cancelled because of the storm.	Le concert a été annulé à cause de la tempête.
You can pay by card or in cash at the counter.	Vous pouvez payer par carte ou en espèces au comptoir.
The old castle overlooks the whole valley.	Le vieux château domine toute la vallée.
She wrote a long letter to her best friend.	Elle a écrit une longue lettre à sa meilleure amie.
The students must finish their project by next week.	Les étudiants doivent terminer leur projet d'ici la semaine prochaine.
We ate dinner on the terrace and watched the sunset.	Nous avons dîné sur la terrasse en regardant le coucher du soleil.
My phone battery is almost empty.	La batterie de mon téléphone est presque vide.
The library has thousands of books about history.	La bibliothèque possède des milliers de livres sur l'histoire.
